2026-04-27 11:15:24.532 | DEBUG    | freqtrade_gui.services.process_run_manager | run adbb5ba1 stdout: '\n'
2026-04-27 11:15:24.532 | DEBUG    | freqtrade_gui.services.process_run_manager | run adbb5ba1 stdout: 'Backtested 2025-04-27 00:00:00 -> 2026-04-27 00:00:00 | Max open trades : 3\n'
2026-04-27 11:15:24.532 | DEBUG    | freqtrade_gui.services.process_run_manager | run adbb5ba1 stdout: '                                                          STRATEGY SUMMARY      '
2026-04-27 11:15:24.532 | DEBUG    | freqtrade_gui.services.process_run_manager | run adbb5ba1 stdout: '┏━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━'
2026-04-27 11:15:24.532 | DEBUG    | freqtrade_gui.services.process_run_manager | run adbb5ba1 stdout: '┃ Strategy ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃    Avg Dur'
2026-04-27 11:15:24.532 | DEBUG    | freqtrade_gui.services.process_run_manager | run adbb5ba1 stdout: '┡━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━'
2026-04-27 11:15:24.533 | DEBUG    | freqtrade_gui.services.process_run_manager | run adbb5ba1 stdout: '│    yesv3 │    104 │         0.80 │          17.422 │        21.78 │ 2 days, 4:'
2026-04-27 11:15:24.533 | DEBUG    | freqtrade_gui.services.process_run_manager | run adbb5ba1 stdout: '└──────────┴────────┴──────────────┴─────────────────┴──────────────┴───────────'
2026-04-27 11:15:25.136 | INFO     | freqtrade_gui.services.process_run_manager | Run adbb5ba1-b234-4315-94d5-eeb2352aeb8e finished | status=finished | exit_code=0
2026-04-27 11:15:25.235 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:25.239 | DEBUG    | freqtrade_gui.parsing.backtest | Parsing zip: backtest-result-2026-04-27_11-15-24.zip | entry=backtest-result-2026-04-27_11-15-24.json
2026-04-27 11:15:25.242 | INFO     | freqtrade_gui.parsing.backtest | Parsed | strategy=yesv3 | trades=104 | profit=21.7769%
2026-04-27 11:15:25.242 | DEBUG    | freqtrade_gui.freqtrade.discovery | Finding config file for strategy: yesv3
2026-04-27 11:15:25.242 | DEBUG    | freqtrade_gui.resolvers.config | Using default config: /home/mohs/Desktop/ae/pyside6/user_data/config.json
2026-04-27 11:15:25.242 | INFO     | freqtrade_gui.backtests.store  | Saving run | id=run_2026-04-27_11-15-25_e646bb | strategy=yesv3 | trades=104 | profit=21.7769%
2026-04-27 11:15:25.250 | DEBUG    | freqtrade_gui.backtests.index  | Global index updated | strategy=yesv3 | run_id=run_2026-04-27_11-15-25_e646bb
2026-04-27 11:15:25.252 | DEBUG    | freqtrade_gui.backtests.index  | Strategy index updated | strategy=yesv3 | run_id=run_2026-04-27_11-15-25_e646bb
2026-04-27 11:15:25.252 | INFO     | freqtrade_gui.backtests.store  | Run saved → /home/mohs/Desktop/ae/pyside6/user_data/backtest_results/yesv3/run_2026-04-27_11-15-25_e646bb
2026-04-27 11:15:25.252 | INFO     | freqtrade_gui.services.backtest | Backtest results saved: strategy=yesv3 run_id=run_2026-04-27_11-15-25_e646bb
2026-04-27 11:15:25.828 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:25.830 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:25.832 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse: 3 distinct pairs from 104 trades
2026-04-27 11:15:25.832 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse complete: 3 pairs, best=['HOME/USDT', 'XRP/USDT', 'ADA/USDT'], worst=['ADA/USDT', 'XRP/USDT', 'HOME/USDT'], flags=[]
2026-04-27 11:15:25.832 | DEBUG    | freqtrade_gui.services.diagnosis | diagnose: 0 rules fired
2026-04-27 11:15:25.833 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:25.843 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:26.811 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:26.813 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:26.816 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse: 3 distinct pairs from 104 trades
2026-04-27 11:15:26.816 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse complete: 3 pairs, best=['HOME/USDT', 'XRP/USDT', 'ADA/USDT'], worst=['ADA/USDT', 'XRP/USDT', 'HOME/USDT'], flags=[]
2026-04-27 11:15:26.817 | DEBUG    | freqtrade_gui.services.diagnosis | diagnose: 0 rules fired
2026-04-27 11:15:26.818 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:26.832 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:27.796 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:27.798 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:27.801 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:27.802 | DEBUG    | freqtrade_gui.freqtrade.discovery | Listing strategies from: /home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:27.803 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:27.832 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:27.833 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:27.856 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:27.857 | DEBUG    | freqtrade_gui.freqtrade.discovery | Listing strategies from: /home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:27.858 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.012 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.016 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.016 | DEBUG    | freqtrade_gui.freqtrade.discovery | Listing strategies from: /home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:28.017 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.021 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.297 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.297 | INFO     | freqtrade_gui.settings         | Settings saved to /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.298 | DEBUG    | freqtrade_gui.settings         | Saved: python=/home/mohs/Desktop/ae/pyside6/.venv/bin/python venv=/home/mohs/Desktop/ae/pyside6/.venv user_data=/home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:28.298 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.298 | INFO     | freqtrade_gui.settings         | Settings saved to /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.299 | DEBUG    | freqtrade_gui.settings         | Saved: python=/home/mohs/Desktop/ae/pyside6/.venv/bin/python venv=/home/mohs/Desktop/ae/pyside6/.venv user_data=/home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:28.299 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.300 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.300 | INFO     | freqtrade_gui.settings         | Settings saved to /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.300 | DEBUG    | freqtrade_gui.settings         | Saved: python=/home/mohs/Desktop/ae/pyside6/.venv/bin/python venv=/home/mohs/Desktop/ae/pyside6/.venv user_data=/home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:28.313 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.314 | INFO     | freqtrade_gui.settings         | Settings saved to /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.314 | DEBUG    | freqtrade_gui.settings         | Saved: python=/home/mohs/Desktop/ae/pyside6/.venv/bin/python venv=/home/mohs/Desktop/ae/pyside6/.venv user_data=/home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:28.314 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.315 | INFO     | freqtrade_gui.settings         | Settings saved to /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.315 | DEBUG    | freqtrade_gui.settings         | Saved: python=/home/mohs/Desktop/ae/pyside6/.venv/bin/python venv=/home/mohs/Desktop/ae/pyside6/.venv user_data=/home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:28.315 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
