2026-04-26 00:20:16.637 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '┃ Enter Tag ┃ Exit Reason ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit'
2026-04-26 00:20:16.637 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '┡━━━━━━━━━━━╇━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━'
2026-04-26 00:20:16.637 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│           │  force_exit │      2 │        -9.16 │          -7.320 │        -9.'
2026-04-26 00:20:16.637 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│     TOTAL │             │      2 │        -9.16 │          -7.320 │        -9.'
2026-04-26 00:20:16.637 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '└───────────┴─────────────┴────────┴──────────────┴─────────────────┴───────────'
2026-04-26 00:20:16.651 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '                         SUMMARY METRICS                          \n'
2026-04-26 00:20:16.652 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓\n'
2026-04-26 00:20:16.652 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '┃ Metric                        ┃ Value                          ┃\n'
2026-04-26 00:20:16.652 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '┡━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┩\n'
2026-04-26 00:20:16.652 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Backtesting from              │ 2025-12-30 00:00:00            │\n'
2026-04-26 00:20:16.652 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Backtesting to                │ 2026-01-13 00:00:00            │\n'
2026-04-26 00:20:16.652 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Trading Mode                  │ Spot                           │\n'
2026-04-26 00:20:16.656 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Max open trades               │ 2                              │\n'
2026-04-26 00:20:16.656 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│                               │                                │\n'
2026-04-26 00:20:16.656 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Total/Daily Avg Trades        │ 2 / 0.14                       │\n'
2026-04-26 00:20:16.656 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Starting balance              │ 80 USDT                        │\n'
2026-04-26 00:20:16.656 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Final balance                 │ 72.68 USDT                     │\n'
2026-04-26 00:20:16.656 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Absolute profit               │ -7.32 USDT                     │\n'
2026-04-26 00:20:16.660 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Total profit %                │ -9.15%                         │\n'
2026-04-26 00:20:16.661 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ CAGR %                        │ -91.81%                        │\n'
